epoch,split,class_index,class_name,precision,recall,f1,support
4,val,36,Tomato___Tomato_mosaic_virus,0.932203,0.982143,0.956522,56
4,val,37,Tomato___healthy,0.750000,0.995798,0.855596,238
5,val,0,Apple___Apple_scab,0.987500,0.831579,0.902857,95
5,val,1,Apple___Black_rot,0.989011,0.967742,0.978261,93
5,val,2,Apple___Cedar_apple_rust,0.976190,1.000000,0.987952,41
5,val,3,Apple___healthy,0.921348,1.000000,0.959064,246
5,val,4,Blueberry___healthy,1.000000,0.995556,0.997773,225
5,val,5,Cherry_(including_sour)___Powdery_mildew,1.000000,0.955696,0.977346,158
5,val,6,Cherry_(including_sour)___healthy,1.000000,1.000000,1.000000,128
5,val,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.919355,0.740260,0.820144,77
5,val,8,Corn_(maize)___Common_rust_,1.000000,1.000000,1.000000,179
5,val,9,Corn_(maize)___Northern_Leaf_Blight,0.876543,0.959459,0.916129,148
5,val,10,Corn_(maize)___healthy,0.994286,1.000000,0.997135,174
5,val,11,Grape___Black_rot,0.916667,0.994350,0.953930,177
5,val,12,Grape___Esca_(Black_Measles),0.994872,0.932692,0.962779,208
5,val,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.000000,1.000000,1.000000,161
5,val,14,Grape___healthy,1.000000,1.000000,1.000000,64
5,val,15,Orange___Haunglongbing_(Citrus_greening),0.997585,1.000000,0.998791,826
5,val,16,Peach___Bacterial_spot,0.991228,0.985465,0.988338,344
5,val,17,Peach___healthy,0.964286,1.000000,0.981818,54
5,val,18,"Pepper,_bell___Bacterial_spot",0.966667,0.973154,0.969900,149
5,val,19,"Pepper,_bell___healthy",0.986607,0.995495,0.991031,222
5,val,20,Potato___Early_blight,0.986395,0.966667,0.976431,150
5,val,21,Potato___Late_blight,0.893750,0.953333,0.922581,150
5,val,22,Potato___healthy,1.000000,0.739130,0.850000,23
5,val,23,Raspberry___healthy,1.000000,0.964286,0.981818,56
5,val,24,Soybean___healthy,0.994778,0.998689,0.996730,763
5,val,25,Squash___Powdery_mildew,0.996377,1.000000,0.998185,275
5,val,26,Strawberry___Leaf_scorch,1.000000,1.000000,1.000000,166
5,val,27,Strawberry___healthy,1.000000,1.000000,1.000000,68
5,val,28,Tomato___Bacterial_spot,0.928783,0.981191,0.954268,319
5,val,29,Tomato___Early_blight,0.952381,0.666667,0.784314,150
5,val,30,Tomato___Late_blight,0.958015,0.880702,0.917733,285
